operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
AttributeReplace,noneq,2.5,3.0,False,claroline,['brokenLink'],['wrongPage'],['executeAssertImmediate'],AttributeReplace_DoCourseExerciseQuestionsTest_37_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV1-DIV1-DIV1-UL1-LI10-A1
StyleColor,noneq,0.5,2.0,False,claroline,['wrongColor'],['cosmetic'],['assert'],StyleColor_AddCourseExerciseQuestionsTest_67_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-DIV1
StyleVisibility,noneq,2.0,2.0,False,claroline,['missingElements'],['missingInfo'],['assert'],StyleVisibility_DoCourseExerciseQuestionsMultipleUsersTest_74_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-DIV1-TABLE1-TBODY1-TR1-TD1-H11
StyleVisibility,noneq,2.5,2.0,False,claroline,"['brokenLink', 'missingElements']","['missingInfo', 'wrongPage']","['execute', 'assert']",StyleVisibility_SearchAllowedCourseTest_34_-HTML1-BODY1-DIV1-DIV1-DIV3-DIV1
StyleColor,noneq,1.0,2.0,False,claroline,['wrongColor'],"['cosmetic', 'css']",['assert'],StyleColor_AddUserTest_23_-HTML1-BODY1-DIV1-DIV2-DIV1-DIV1-H31
StylePosition,noneq,0.5,2.0,False,claroline,['wrongPosition'],['cosmetic'],['assert'],StylePosition_AddMultipleUsersTest_74_-HTML1-BODY1-DIV1-DIV2-TABLE2-TBODY1-TR3-TD7-A1
StyleColor,noneq,0.5,2.0,False,claroline,['wrongColor'],['cosmetic'],['assert'],StyleColor_EnrolMultipleUsersTest_67_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV1-DIV1-DIV1-UL1-LI6-A1
EventHandlerAdd,noneq,2.5,3.0,False,claroline,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerAdd_AddEmptyCourseTest_35_-HTML1-BODY1-DIV1-DIV2-FORM1-FIELDSET3-DIV1-DL2-DD1-SELECT1-OPTION1
EventHandlerAdd,noneq,2.5,3.0,False,claroline,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerAdd_DoCourseExerciseQuestionsTest_46_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-FORM1-TABLE1-TBODY2-TR1-TD1-BLOCKQUOTE1
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddCourseExerciseTest_34_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2-DIV3
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddCourseExerciseTest_35_-HTML1-BODY1-DIV1-DIV2-DIV2-DIV3-DIV2
SubtreeInsert,noneq,2.0,2.0,False,claroline,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_EnrolMultipleUsersTest_58_-HTML1-BODY1-DIV1-DIV1-DIV2-DIV1-UL1-LI1-SPAN1
